UF,Município,Tipo Unidade,Tipo Estabelecimento,Natureza Jurídica,Status Unidade,Conexão Internet,NU_LATITUDE,NU_LONGITUDE
AC,cruzeiro do sul,72,UNIDADE BASICA DE SAUDE,ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,Habilitada,Não Conectada,-779195582545655,-72055206
AC,jordao,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-923360429838084,-71650353
AC,marechal thaumaturgo,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-894291178874793,-7279085
AC,porto walter,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-818354055439801,-72797448
AC,porto walter,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-826279723527907,-72736551
AC,rio branco,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9975,-6781
AC,senador guiomard,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-100919099747848,-6753549
AC,xapuri,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10608628,-68488585
AC,xapuri,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10353497,-68513105
AC,porto walter,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-83641067,-7276638
AC,mancio lima,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-76112428446,-7291171
AC,acrelandia,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9828,-66883
AC,assis brasil,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10939047,-69566411
AC,assis brasil,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10940669,-69561204
AC,bujari,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-982521560145587,-67950085
AC,bujari,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-979288645286535,-68260502
AC,bujari,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-979686169148048,-67850704
AC,bujari,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-966979975818663,-68070602
AC,capixaba,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-105733994393817,-67677412
AC,capixaba,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-104547265814231,-67700457
AC,capixaba,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-105612283440491,-67677326
AC,capixaba,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-106015577484172,-67778778
AC,cruzeiro do sul,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-801072268075143,-72749319
AC,cruzeiro do sul,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-803658102548735,-72747602
AC,cruzeiro do sul,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-776933505279624,-72392177
AC,cruzeiro do sul,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-77419503821476,-72455348
AC,placido de castro,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10318119,-67366287
AC,epitaciolandia,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-11029,-68741
AC,jordao,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-918908190753341,-71952252
AC,jordao,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9434,-71884
AC,mancio lima,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-741781466047149,-73222718
AC,manoel urbano,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-88365434,-69321875
AC,marechal thaumaturgo,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-878143057394365,-72841587
AC,marechal thaumaturgo,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-947611159263826,-72737174
AC,placido de castro,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10319880304174,-67181267
AC,porto acre,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-975499242982405,-6735707
AC,rodrigues alves,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-78215667,-72663496
AC,rodrigues alves,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-7742,-72647
